id,msbase,ms1500,ms1515,ms1530,ms1545,ms1600,ms1615,ms1630,ms1645,ms1700,ms1715,ms1730,ms1745,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,speedlimit,frc,streetname,base_hits
9347,93,97,94,96,97,26,32,34,32,32,41,16,26,23,26,10,23,20,23,39,93,93,96,97,98,93,97,100,0,A9,960
16722,62,,,,52,67,,51,78,48,67,64,47,,66,,,,59,68,68,60,,72,,,,60,4,Kanaaldijk,43
60,31,11,35,37,,35,35,36,157,32,,31,,122,,32,32,40,39,37,8,35,31,38,,,36,50,4,Kromwijkdreef,47
62,11,20,4,,16,8,,8,11,9,30,,44,5,7,13,39,,,7,,34,41,29,,,,50,4,Kromwijkdreef,21
65,33,,,46,,34,33,37,,,,9,37,41,31,,,24,,39,39,,,,,,36,50,4,Kromwijkdreef,21
66,12,17,3,,16,12,,8,11,9,30,,44,5,7,9,39,,,5,,34,41,33,,,,50,4,Kromwijkdreef,21
67,87,86,89,91,90,93,91,93,90,90,90,89,91,89,88,88,88,91,90,85,84,103,89,93,89,94,97,100,0,Gaasperdammerweg,606
68,35,16,33,37,,35,34,43,157,37,42,36,44,36,,33,39,40,43,38,45,39,43,41,,,39,50,4,Kromwijkdreef,71
71,43,39,46,40,42,45,43,46,43,45,36,,27,38,22,23,48,53,,40,46,49,50,50,41,,50,50,4,Loosdrechtdreef,45
72,24,16,42,28,26,34,34,16,21,32,22,35,30,26,31,29,39,30,31,30,15,43,35,40,37,,35,50,4,Loosdrechtdreef,141
73,41,54,45,34,39,45,47,47,29,46,44,43,34,47,40,33,49,39,40,42,46,47,49,43,37,,46,50,4,Loosdrechtdreef,140
78,95,97,97,99,99,88,84,84,87,91,92,30,20,9,28,14,18,30,92,97,97,93,95,97,100,100,97,100,0,Gaasperdammerweg,1016
79,34,27,18,46,29,32,45,28,27,39,30,28,41,29,33,27,51,37,,51,39,35,41,38,,,37,50,4,Kromwijkdreef,42
80,40,19,37,46,,43,40,47,157,46,49,46,54,43,,33,45,41,50,39,46,46,49,45,,,48,50,4,Kromwijkdreef,71
81,95,97,97,99,99,88,84,84,87,91,92,30,20,9,27,15,18,30,90,98,96,90,95,97,98,99,97,100,0,Gaasperdammerweg,1016
84,96,97,97,100,98,89,81,85,85,90,94,23,17,9,18,10,25,27,89,100,95,88,95,99,98,99,91,100,0,Gaasperdammerweg,998
89,42,35,27,46,41,41,46,51,47,50,49,41,39,40,38,46,63,48,,51,39,43,48,42,,,40,50,4,Kromwijkdreef,43
90,87,89,89,92,88,92,89,94,90,87,89,89,88,90,88,88,83,89,90,87,94,104,91,91,88,91,126,100,0,Gaasperdammerweg,556
93,87,88,89,89,86,91,90,93,92,87,90,88,89,92,88,88,84,88,91,86,94,104,91,92,89,91,126,100,0,Gaasperdammerweg,513
