id,msbase,ms1500,ms1515,ms1530,ms1545,ms1600,ms1615,ms1630,ms1645,ms1700,ms1715,ms1730,ms1745,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,speedlimit,frc,streetname,base_hits
9347,93,40,49,27,47,38,41,50,37,46,20,34,29,50,67,54,97,89,95,99,102,97,96,103,101,95,90,100,0,A9,960
16722,62,70,75,50,73,64,61,62,78,79,81,71,60,48,81,,,71,,,,,,88,,,120,60,4,Kanaaldijk,43
60,31,33,34,,24,31,,,30,26,33,,43,18,,25,20,,,,26,27,,,,,39,50,4,Kromwijkdreef,47
62,11,,31,13,27,,6,6,11,35,23,19,24,5,23,,,,8,,4,48,34,,28,,,50,4,Kromwijkdreef,21
65,33,,40,,20,31,16,24,31,37,,38,,,,35,,54,32,,,,,,,20,26,50,4,Kromwijkdreef,21
66,12,,31,10,35,6,2,8,11,46,6,19,24,5,22,,,,8,,4,48,1,,28,,,50,4,Kromwijkdreef,21
67,87,85,97,87,89,90,84,86,85,81,90,90,94,93,89,95,88,91,86,93,89,88,97,102,93,93,96,100,0,Gaasperdammerweg,606
68,35,34,34,,26,31,,,37,36,38,,43,28,,30,36,36,,,32,32,32,,,,43,50,4,Kromwijkdreef,71
71,43,,31,52,38,,47,41,46,45,41,49,48,52,38,57,54,,57,,53,46,51,,49,80,58,50,4,Loosdrechtdreef,45
72,24,39,30,18,24,31,21,31,25,18,38,22,19,12,23,28,28,26,19,15,31,29,37,9,12,,49,50,4,Loosdrechtdreef,141
73,41,43,41,22,33,31,49,35,29,37,44,36,41,41,42,40,50,39,43,44,45,43,55,40,37,,56,50,4,Loosdrechtdreef,140
78,95,101,82,90,63,48,24,28,48,60,55,40,89,97,99,94,94,90,100,103,100,102,103,105,105,90,78,100,0,Gaasperdammerweg,1016
79,34,,34,9,43,28,16,39,33,44,14,41,31,34,26,41,,50,36,,22,49,43,,44,28,30,50,4,Kromwijkdreef,42
80,40,44,37,,31,31,,,44,43,38,,43,40,,37,40,55,,,39,40,38,,,,50,50,4,Kromwijkdreef,71
81,95,101,82,90,63,51,24,28,49,57,55,40,89,97,99,94,94,90,100,103,100,102,103,105,106,90,78,100,0,Gaasperdammerweg,1016
84,96,100,81,89,57,46,21,25,46,60,55,41,89,99,94,94,97,90,99,103,100,102,104,106,105,90,78,100,0,Gaasperdammerweg,998
89,42,,35,42,44,39,34,53,43,45,30,41,45,45,34,44,,50,44,,42,50,51,,45,33,45,50,4,Kromwijkdreef,43
90,87,89,102,85,88,88,83,86,84,84,87,88,90,91,88,92,89,96,85,89,86,87,88,103,90,99,92,100,0,Gaasperdammerweg,556
93,87,84,98,86,87,88,80,85,84,83,85,87,91,92,88,91,89,96,86,89,85,88,89,102,90,99,95,100,0,Gaasperdammerweg,513
94,88,84,98,86,87,89,82,86,84,83,85,87,89,91,88,91,89,96,86,89,85,87,89,101,92,99,95,100,0,Gaasperdammerweg,503
