id,msbase,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,speedlimit,frc,streetname
9347,93,50,67,54,97,89,95,99,102,97,96,103,101,95,90,100,0,A9
14856,41,38,,,65,49,,,47,,,,,,45,50,5,Nobelweg
16722,62,48,81,,,71,,,,,,88,,,120,60,4,Kanaaldijk
16990,40,52,39,39,35,37,47,42,44,47,42,57,43,42,,50,5,Spaklerweg
17660,23,25,37,39,27,,32,,,,,,,20,29,30,6,Maasstraat
5,43,56,,,,42,,,59,,,,45,,,50,5,Groesbeekdreef
6,46,43,,49,51,36,,,,,,,,,,50,5,Groesbeekdreef
7,47,41,,48,47,52,,,,,,,,,,50,5,Groesbeekdreef
11,7,25,12,,,,,,,,,,,,,20,7,Kloekhorststraat
14,43,35,,53,55,,,,,,,,,,,50,5,Groesbeekdreef
42,18,29,,,,,,,,,,,,,,20,7,Kloekhorststraat
45,18,26,,,,,,,,,,,,,,20,7,Kloekhorststraat
53,20,24,,,,,,,,,,,,,,20,7,Kloekhorststraat
60,31,18,,25,20,,,,26,27,,,,,39,50,4,Kromwijkdreef
62,11,5,23,,,,8,,4,48,34,,28,,,50,4,Kromwijkdreef
66,12,5,22,,,,8,,4,48,1,,28,,,50,4,Kromwijkdreef
67,87,93,89,95,88,91,86,93,89,88,97,102,93,93,96,100,0,Gaasperdammerweg
68,35,28,,30,36,36,,,32,32,32,,,,43,50,4,Kromwijkdreef
71,43,52,38,57,54,,57,,53,46,51,,49,80,58,50,4,Loosdrechtdreef
72,24,12,23,28,28,26,19,15,31,29,37,9,12,,49,50,4,Loosdrechtdreef
73,41,41,42,40,50,39,43,44,45,43,55,40,37,,56,50,4,Loosdrechtdreef
78,95,97,99,94,94,90,100,103,100,102,103,105,105,90,78,100,0,Gaasperdammerweg
79,34,34,26,41,,50,36,,22,49,43,,44,28,30,50,4,Kromwijkdreef
80,40,40,,37,40,55,,,39,40,38,,,,50,50,4,Kromwijkdreef
81,95,97,99,94,94,90,100,103,100,102,103,105,106,90,78,100,0,Gaasperdammerweg
84,96,99,94,94,97,90,99,103,100,102,104,106,105,90,78,100,0,Gaasperdammerweg
89,42,45,34,44,,50,44,,42,50,51,,45,33,45,50,4,Kromwijkdreef
90,87,91,88,92,89,96,85,89,86,87,88,103,90,99,92,100,0,Gaasperdammerweg
93,87,92,88,91,89,96,86,89,85,88,89,102,90,99,95,100,0,Gaasperdammerweg
94,88,91,88,91,89,96,86,89,85,87,89,101,92,99,95,100,0,Gaasperdammerweg
